,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 1,@,TOR,"L,3-13",35,35,3,8,1,0,0,3,0,0,8,0,0,0,1,1,0,0,0.229,0.229,0.257,0.486,5,10,L,R.Romero(58)
1,2,2,Apr 2,@,TOR,"L,1-6",30,26,1,1,0,0,0,1,4,0,7,0,0,0,0,2,1,0,0.148,0.2,0.164,0.364,2,11,R,K.Drabek(75)
2,3,3,Apr 3,@,TOR,"W,4-3",39,35,4,10,0,0,2,4,3,0,6,1,0,0,2,2,0,0,0.198,0.26,0.271,0.53,8,11,L,B.Cecil(44)
3,4,4,Apr 4,@,NYY,"L,3-4",35,34,3,8,4,0,0,3,1,0,5,0,0,0,1,2,0,0,0.208,0.259,0.292,0.551,5,10,R,I.Nova(50)
4,5,5,Apr 5,@,NYY,"W,5-4",42,36,5,7,1,0,0,5,6,0,10,0,0,0,0,1,0,0,0.205,0.271,0.277,0.548,7,12,L,C.Sabathia(78)
5,6,6,Apr 7,@,NYY,"L,3-4",36,33,3,6,4,0,0,3,2,0,5,1,0,0,0,0,1,0,0.201,0.267,0.281,0.549,6,11,R,A.Burnett(57)
6,7,7,Apr 8,,OAK,"W,2-1",30,30,2,8,0,0,0,2,0,0,5,0,0,0,0,2,0,0,0.21,0.267,0.279,0.547,4,11,L,B.Anderson(63)
7,8,8,Apr 9,,OAK,"L,0-1",35,32,0,5,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0.203,0.262,0.264,0.527,8,11,L,G.Gonzalez(66)
8,9,9,Apr 10,,OAK,"L,3-5",35,34,3,10,3,0,1,3,0,0,6,0,1,0,0,1,0,0,0.214,0.266,0.288,0.554,5,9,R,B.McCarthy(57)
9,10,10,Apr 12,,KCR,"W,4-3",43,39,4,13,1,0,0,4,3,0,7,0,0,1,0,0,1,0,0.228,0.279,0.296,0.575,11,12,L,J.Francis(53)
10,11,11,Apr 13,,KCR,"L,5-10",40,39,5,12,3,0,0,4,1,0,7,0,0,0,0,0,0,0,0.236,0.283,0.306,0.589,8,9,R,K.Davies(30)
11,12,12,Apr 14,@,TBR,"L,3-4",44,41,3,12,4,0,0,3,2,1,6,0,0,1,0,0,0,0,0.242,0.287,0.314,0.601,11,11,R,J.Shields(53)
12,13,13,Apr 15,@,TBR,"L,2-5",34,30,2,4,1,0,0,1,4,0,3,0,0,0,0,0,0,0,0.234,0.283,0.304,0.587,5,12,R,W.Davis(64)
13,14,14,Apr 16,@,TBR,"L,3-4",37,34,3,8,0,1,1,2,3,0,8,0,0,0,0,1,3,0,0.234,0.284,0.31,0.594,7,12,R,J.Niemann(54)
14,15,15,Apr 17,@,TBR,"W,4-2",38,36,4,9,3,1,1,3,2,0,4,0,0,0,0,0,1,0,0.235,0.284,0.321,0.605,7,10,R,J.Hellickson(50)
15,16,16,Apr 18,@,BAL,"W,5-3",38,36,5,8,2,0,0,4,2,0,9,0,0,0,1,0,0,0,0.235,0.283,0.318,0.601,6,10,R,C.Tillman(55)
16,17,17,Apr 19,@,BAL,"L,0-11",36,31,0,6,2,0,0,0,4,0,7,0,1,0,0,1,0,0,0.232,0.283,0.315,0.598,9,10,R,J.Arrieta(65)
17,18,18,Apr 20,@,BAL,"L,4-5",37,33,4,7,0,0,1,4,4,0,6,0,0,0,0,1,0,0,0.231,0.284,0.314,0.598,6,10,L,Z.Britton(50)
18,19,19,Apr 21,@,BAL,"W,3-1",37,35,3,9,1,0,2,3,0,0,5,2,0,0,0,1,1,0,0.233,0.285,0.322,0.607,7,9,R,J.Guthrie(59)
19,20,20,Apr 23,,CLE,"W,10-3",41,34,10,13,2,0,1,10,5,1,4,0,1,1,0,1,2,0,0.24,0.294,0.332,0.626,7,10,R,R.Hernandez(26)
20,21,21,Apr 24,,CLE,"W,4-3",35,31,4,10,3,0,0,4,3,0,4,0,1,0,1,1,0,0,0.244,0.298,0.336,0.634,7,9,R,C.Carrasco(38)
21,22,22,Apr 27,,TBR,"L,2-8",37,32,2,7,1,0,0,2,3,0,7,1,0,1,0,1,0,0,0.243,0.298,0.332,0.63,8,9,R,W.Davis(54)
22,23,23,Apr 28 (1),,TBR,"L,3-15",36,34,3,8,0,0,1,3,2,0,3,0,0,0,0,0,0,0,0.242,0.297,0.332,0.629,6,10,R,J.Hellickson(49)
23,24,24,Apr 28 (2),,TBR,"L,1-6",30,28,1,2,0,0,0,1,2,0,5,0,0,0,0,1,0,0,0.236,0.291,0.323,0.614,2,9,R,J.Niemann(70)
24,25,25,Apr 29,@,KCR,"L,3-4",38,35,3,9,4,0,1,3,3,0,5,0,0,0,1,1,1,1,0.237,0.292,0.329,0.621,8,9,L,B.Chen(39)
25,26,26,Apr 30,@,KCR,"L,2-11",37,30,2,3,1,0,0,0,7,0,5,0,0,0,1,1,0,0,0.233,0.291,0.322,0.613,8,10,R,S.O'Sullivan(58)
26,27,27,May 1,@,KCR,"L,3-10",38,31,3,5,0,2,1,3,7,0,4,0,0,0,0,1,0,0,0.23,0.292,0.324,0.616,8,9,R,L.Hochevar(48)
27,28,28,May 3,@,CHW,"W,1-0",32,31,1,6,1,0,1,1,1,0,4,0,0,0,0,1,0,0,0.229,0.29,0.324,0.614,4,9,R,E.Jackson(67)
