,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 6,@,STL,"W,6-4",45,38,6,11,3,0,0,6,6,0,11,1,0,0,1,0,1,0,0.289,0.4,0.368,0.768,12,14,R,A.Wainwright(54)
1,1,2,2,Apr 7,@,STL,"L,3-9",33,31,3,5,1,0,1,3,1,0,5,0,0,1,1,1,0,0,0.232,0.308,0.333,0.641,3,14,R,K.Lohse(60)
2,2,3,3,Apr 8,@,STL,"W,7-4",46,42,7,17,4,0,1,7,2,0,7,0,2,0,0,0,0,0,0.297,0.352,0.423,0.776,12,15,R,T.Wellemeyer(24)
3,3,4,4,Apr 9,@,STL,"L,1-2",32,30,1,1,0,0,0,1,2,0,8,0,0,0,0,0,0,0,0.241,0.299,0.34,0.639,4,13,R,C.Carpenter(78)
4,4,5,5,Apr 11,@,CIN,"W,10-2",42,37,10,12,3,1,3,10,5,0,12,0,0,0,0,0,2,1,0.258,0.321,0.416,0.737,5,12,R,J.Cueto(48)
5,5,6,6,Apr 12,@,CIN,"L,0-2",30,29,0,3,1,0,0,0,0,0,9,1,0,0,0,0,0,1,0.237,0.296,0.377,0.673,3,14,R,A.Harang(90)
6,6,7,7,Apr 13,,HOU,"W,7-0",42,36,7,14,5,0,2,7,5,0,2,0,1,0,0,0,0,0,0.259,0.322,0.424,0.746,11,9,R,B.Moehler(22)
7,7,8,8,Apr 15,,HOU,"L,1-4",35,33,1,9,0,0,1,1,2,0,9,0,0,0,0,1,0,0,0.261,0.321,0.417,0.738,7,16,L,M.Hampton(71)
8,8,9,9,Apr 16,,HOU,"L,3-6",38,34,3,10,3,1,0,2,3,0,4,0,1,0,0,2,0,0,0.265,0.324,0.419,0.744,8,18,R,R.Ortiz(42)
9,9,10,10,Apr 17,,ATL,"W,3-0",32,30,3,6,0,2,1,3,2,0,9,0,0,0,0,0,1,0,0.259,0.318,0.421,0.739,5,12,R,J.Jurrjens(67)
10,10,11,11,Apr 18,,ATL,"W,10-0",41,36,10,13,6,1,2,10,5,3,5,0,0,0,0,1,1,0,0.269,0.33,0.452,0.782,7,12,L,J.Reyes(36)
11,11,12,12,Apr 19,,ATL,"L,1-11",37,34,1,7,1,0,0,1,2,0,10,1,0,0,1,0,0,0,0.263,0.325,0.434,0.759,9,16,R,J.Vazquez(69)
12,12,13,13,Apr 20,,FLA,"W,8-0",40,33,8,11,2,0,1,6,6,0,2,0,1,0,0,1,3,0,0.269,0.334,0.438,0.772,8,12,L,A.Miller(35)
13,13,14,14,Apr 21,,FLA,"W,3-2",33,31,3,7,3,0,1,3,2,1,8,0,0,0,1,1,0,0,0.266,0.33,0.437,0.767,6,13,R,A.Sanchez(55)
14,14,15,15,Apr 22,,FLA,"W,7-4",40,33,7,10,5,0,0,6,5,2,7,1,0,1,0,0,3,0,0.268,0.335,0.438,0.773,9,15,R,R.Nolasco(36)
15,15,16,16,Apr 24,@,SDP,"L,3-4",46,39,3,8,2,0,0,3,5,1,8,1,1,0,0,0,1,0,0.264,0.333,0.425,0.758,10,17,R,K.Correia(48)
16,16,17,17,Apr 25,@,SDP,"W,10-1",46,35,10,14,5,0,0,9,6,0,4,1,1,3,0,2,0,0,0.272,0.343,0.432,0.775,9,10,R,S.Hill(34)
17,17,18,18,Apr 26,@,SDP,"W,8-3",42,36,8,11,1,0,2,8,4,0,10,1,1,0,0,0,0,1,0.274,0.345,0.436,0.781,7,10,R,J.Peavy(37)
18,18,19,19,Apr 27,@,MIL,"L,5-10",42,38,5,11,3,0,0,5,4,0,11,0,0,0,0,0,0,0,0.275,0.346,0.432,0.778,10,16,R,B.Looper(48)
19,19,20,20,Apr 28,@,MIL,"L,5-6",38,31,5,7,3,0,0,5,1,0,8,3,2,1,1,1,0,0,0.273,0.344,0.427,0.771,6,13,R,D.Bush(41)
20,20,21,21,Apr 29,@,MIL,"L,0-1",31,30,0,2,2,0,0,0,1,0,12,0,0,0,1,0,0,0,0.264,0.335,0.415,0.749,4,11,R,Y.Gallardo(88)
21,22,22,22,May 1,,CIN,"L,0-4",33,30,0,5,0,0,0,0,3,0,6,0,0,0,0,2,0,0,0.26,0.331,0.405,0.736,6,14,R,B.Arroyo(75)
22,23,23,23,May 2,,CIN,"W,8-6",39,35,8,13,1,0,0,7,2,0,1,1,0,1,0,1,1,0,0.265,0.334,0.405,0.739,7,14,R,M.Owings(29)
23,24,24,24,May 3,,CIN,"L,0-5",30,29,0,4,0,0,0,0,1,0,9,0,0,0,0,1,0,1,0.26,0.329,0.395,0.724,3,13,R,J.Cueto(82)
24,25,25,25,May 4,,MIL,"L,4-7",40,37,4,10,4,1,1,4,3,0,5,0,0,0,0,0,0,0,0.261,0.329,0.4,0.729,9,13,R,Y.Gallardo(53)
25,26,26,26,May 5,,MIL,"L,5-8",40,31,5,6,1,0,1,5,7,0,6,0,1,1,0,0,0,0,0.259,0.329,0.397,0.726,8,16,R,J.Suppan(47)
26,27,27,27,May 6,@,STL,"L,2-4",38,31,2,6,2,0,0,2,7,0,6,0,0,0,1,2,1,0,0.256,0.329,0.393,0.722,9,12,R,M.Boggs(44)
27,28,28,28,May 7,@,STL,"L,2-5",33,30,2,4,1,0,1,2,3,0,7,0,0,0,0,1,0,0,0.252,0.326,0.389,0.714,4,11,R,T.Wellemeyer(62)
28,29,29,29,May 8,@,NYM,"L,3-7",39,35,3,9,2,0,0,3,2,0,9,1,1,0,1,0,1,1,0.253,0.325,0.386,0.711,9,14,L,J.Niese(55)
29,30,30,30,May 9,@,NYM,"L,1-10",35,32,1,5,2,0,1,1,2,1,5,1,0,0,0,0,2,0,0.25,0.322,0.384,0.706,7,13,R,J.Maine(63)
30,31,31,31,May 10,@,NYM,"L,4-8",42,34,4,11,2,0,1,4,5,0,8,0,2,1,0,0,1,1,0.252,0.325,0.387,0.712,11,14,R,L.Hernández(51)
31,32,32,32,May 12,,STL,"W,7-1",39,35,7,11,0,1,2,7,3,0,6,1,0,0,0,0,0,0,0.254,0.327,0.392,0.719,8,11,R,T.Wellemeyer(18)
32,33,33,33,May 13,,STL,"W,5-2",36,35,5,11,5,0,0,5,0,0,3,1,0,0,0,0,0,0,0.256,0.327,0.394,0.721,7,15,R,J.Pineiro(31)
33,34,34,34,May 14,,STL,"L,1-5",38,35,1,12,1,1,0,1,3,0,5,0,0,0,0,3,0,0,0.259,0.329,0.395,0.724,10,15,R,M.Boggs(40)
34,35,35,35,May 15,,COL,"L,1-3",35,33,1,7,2,0,0,1,2,1,13,0,0,0,0,0,2,0,0.257,0.327,0.391,0.719,7,14,L,J.De La Rosa(69)
35,36,36,36,May 16,,COL,"W,7-4",37,33,7,11,2,0,1,7,1,0,5,1,1,1,0,0,2,0,0.259,0.328,0.394,0.722,6,15,R,A.Cook(30)
36,37,37,37,May 17,,COL,"W,11-4",44,38,11,15,3,0,1,10,5,0,9,0,1,0,1,0,0,0,0.263,0.332,0.399,0.731,9,11,R,U.Jimenez(62)
