,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 2,@,BOS,"W,3-0",9.0,2,0,0,0,2,8,0,0,0.0,31,136,89,0.0,0.0,0,0,29,1,0,0,0,0,1,0,3,Joe West,"J.Means (99-80-W), T.Scott (99-H), C.Valdez (99-Sv)"
1,2,2,Apr 3,@,BOS,"W,4-2",9.0,7,2,2,0,2,8,0,1,1.0,37,152,95,2.0,0.0,1,0,33,1,0,0,0,1,0,0,4,Ron Kulpa,"M.Harvey (99-47), A.Plutko (99-W), D.Tate (99-H), C.Valdez (0-Sv)"
2,3,3,Apr 4,@,BOS,"W,11-3",9.0,6,3,3,0,2,8,1,0,1.67,35,133,93,0.0,0.0,0,0,32,2,0,0,0,1,0,0,3,Bruce Dreckman,"B.Zimmermann (99-56-W), C.Sulser (99), T.Wells (99)"
3,4,4,Apr 5,@,NYY,"L,0-7",8.0,7,7,7,0,7,10,2,0,3.09,38,153,83,6.0,3.0,0,0,31,0,0,0,0,0,0,0,4,Sam Holbrook,"J.Lopez (99-44-L), S.Armstrong (99), P.Fry (99), M.Sceroler (99)"
4,5,5,Apr 6,@,NYY,"L,2-7",8.0,11,7,7,0,5,6,2,0,3.98,39,158,97,3.0,2.0,0,0,34,3,0,0,0,0,0,1,4,Marty Foster,"D.Kremer (99-38-L), A.Plutko (2), T.Wells (1), W.LeBlanc (99)"
5,6,6,Apr 7,@,NYY,"W,4-3",11.0,13,3,2,1,2,10,0,0,3.5,46,189,122,4.0,0.0,0,0,43,2,0,0,1,0,0,1,6,Jim Wolf,"J.Means (4-48), D.Tate (3), T.Scott (4-H), S.Armstrong (1-BSv), C.Valdez (3-W), P.Fry (1-Sv)"
6,7,7,Apr 8,,BOS,"L,3-7",9.0,12,7,7,0,3,10,2,1,4.0,42,165,104,7.0,3.0,2,0,38,5,0,0,0,0,0,0,6,Jeremie Rehak,"M.Harvey (4-41-L), P.Fry (0-BSv), D.Tate (0), S.Armstrong (0), T.Wells (1), W.LeBlanc (1)"
7,8,8,Apr 10,,BOS,"L,4-6",10.0,10,6,5,1,4,6,1,0,4.07,42,157,99,2.0,1.0,0,1,38,2,0,0,0,0,0,0,6,Dan Iassogna,"B.Zimmermann (5-49), A.Plutko (3), T.Scott (2), C.Valdez (2-BSv), D.Tate (1-L), W.LeBlanc (1)"
8,9,9,Apr 11,,BOS,"L,9-14",9.0,17,14,13,1,3,11,6,3,5.05,50,179,114,4.0,2.0,0,0,44,2,0,0,0,0,1,2,5,Andy Fletcher,"J.Lopez (5-21-L), M.Sceroler (5), T.Wells (2), S.Armstrong (2), P.Fry (2)"
9,10,10,Apr 13(1),,SEA,"L,3-4",8.0,7,4,3,1,2,10,2,0,4.9,32,132,87,1.0,0.0,0,0,30,1,0,0,0,0,0,0,4,Ryan Blakney,"J.Means (5-48), T.Lakins (99), P.Fry (1), T.Scott (2-L)"
10,11,11,Apr 13(2),,SEA,"W,7-6",7.0,8,6,6,0,2,6,2,0,5.1,31,115,71,0.0,0.0,0,0,28,2,0,0,0,1,0,0,4,Ron Kulpa,"D.Kremer (6-37), W.LeBlanc (2), A.Plutko (2-BSv), C.Valdez (2-W)"
11,12,12,Apr 15(1),,SEA,"L,2-4",7.0,5,4,4,0,2,5,1,1,5.11,30,141,81,2.0,0.0,2,0,27,1,0,0,0,0,1,0,4,Brian O'Nora,"M.Harvey (6-52), T.Scott (1-L), P.Fry (1), S.Armstrong (3)"
12,13,13,Apr 15(2),,SEA,"L,1-2",7.0,7,2,2,0,3,4,2,0,4.95,29,119,69,0.0,0.0,0,1,26,0,0,0,0,0,1,1,3,Ryan Wills,"B.Zimmermann (4-46-L), T.Lakins (1), C.Sulser (10)"
13,14,14,Apr 16,@,TEX,"W,5-2",9.0,4,2,2,0,1,15,2,1,4.72,34,133,92,0.0,0.0,0,0,32,0,0,0,0,0,1,0,5,Jim Wolf,"J.Lopez (4-62-W), P.Fry (0-H), D.Tate (5-H), A.Plutko (2-H), C.Valdez (2-Sv)"
14,15,15,Apr 17,@,TEX,"W,6-1",9.0,7,1,1,0,2,8,0,1,4.47,35,146,93,2.0,0.0,0,0,32,0,0,0,0,0,0,2,5,Shane Livensparger,"D.Kremer (3-55), W.LeBlanc (3), T.Lakins (1-W), T.Scott (1-H), S.Armstrong (1)"
15,16,16,Apr 18,@,TEX,"L,0-1",9.2,5,1,0,1,5,11,0,0,4.15,39,148,93,2.0,0.0,0,1,33,1,0,0,1,0,1,0,5,Sam Holbrook,"J.Means (4-78), A.Plutko (1), P.Fry (1), C.Valdez (1), T.Lakins (0-L)"
16,17,17,Apr 20,@,MIA,"W,7-5",9.0,11,5,5,0,3,11,0,0,4.21,42,161,104,4.0,2.0,0,0,38,0,1,0,0,1,1,0,6,Mike Muchlinski,"M.Harvey (4-43-W), S.Armstrong (2), A.Plutko (1-H), T.Scott (2-H), P.Fry (1-H), C.Valdez (1-Sv)"
