,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 6,,COL,"L,3-5",9.0,8,5,1,4,3,3,1,0,1.0,41,151,101,1.0,0.0,3,0,36,2,0,0,1,1,3,0,3,Gary Cederstrom,"W.Rodriguez (99-55), F.Rodriguez (99-L), F.Abad (99)"
1,2,2,Apr 7,,COL,"W,7-3",9.0,7,3,3,0,0,7,1,0,2.0,33,125,85,0.0,0.0,0,1,33,2,1,0,0,0,0,0,4,Lance Barksdale,"L.Harrell (99-75-W), B.Lyon (99), W.Wright (99), R.Cruz (99)"
2,3,3,Apr 8,,COL,"W,3-2",9.0,5,2,2,0,4,9,1,1,2.0,37,135,87,0.0,0.0,0,0,32,1,0,0,0,0,0,0,4,Fieldin Culbreth,"B.Norris (99-66), F.Abad (1), W.Lopez (99-W), B.Myers (99-Sv)"
3,4,4,Apr 9,,ATL,"W,8-3",9.0,7,3,3,0,1,8,0,0,2.25,35,124,85,1.0,0.0,0,0,34,1,0,0,0,0,0,0,4,Gary Darling,"J.Happ (99-52-W), W.Wright (1-H), F.Rodriguez (2-H), D.Carpenter (99)"
4,5,5,Apr 10,,ATL,"L,4-6",9.0,11,6,6,0,3,6,2,0,3.0,41,161,97,0.0,0.0,1,1,38,1,0,0,0,0,0,0,4,Jerry Meals,"K.Weiland (99-38-L), B.Lyon (2), D.Carpenter (0), W.Lopez (1)"
5,6,6,Apr 11,,ATL,"L,3-6",9.0,11,6,4,2,2,8,1,0,3.17,41,150,96,1.0,0.0,1,0,38,2,0,0,1,0,2,0,5,Sam Holbrook,"W.Rodriguez (4-45-L), R.Cruz (3), F.Rodriguez (1), W.Wright (1), B.Lyon (0)"
6,7,7,Apr 13,@,MIA,"L,4-5",10.0,12,5,5,0,4,5,0,0,3.38,43,162,105,0.0,0.0,1,0,39,2,0,0,0,0,0,3,5,Paul Nauert,"L.Harrell (5-30), D.Carpenter (2), W.Lopez (2), F.Rodriguez (1), B.Lyon (1-L)"
7,8,8,Apr 14,@,MIA,"W,5-4",9.0,8,4,3,1,1,6,0,0,3.33,34,116,78,0.0,0.0,2,1,32,1,0,0,0,1,0,2,3,Dana DeMuth,"B.Norris (5-47), R.Cruz (2-W), B.Myers (5-Sv)"
8,9,9,Apr 15,@,MIA,"L,4-5",10.1,12,5,5,0,6,10,2,0,3.46,48,179,106,2.0,1.0,0,0,41,1,1,2,1,0,0,1,5,Kerwin Danley,"J.Happ (5-60), F.Rodriguez (1-H), W.Wright (3), W.Lopez (1-BSv), D.Carpenter (1-L)"
9,10,10,Apr 16,@,WSN,"L,3-6",8.0,13,6,6,0,5,5,1,0,3.74,40,136,82,1.0,0.0,2,0,35,3,0,1,0,0,0,1,3,Jeff Nelson,"K.Weiland (5-23-L), W.Wright (0), B.Lyon (2)"
