,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 3,,DET,"L,1-3",9.0,9,3,3,0,3,8,3,0,3.0,38,133,84,2.0,0.0,1,1,35,0,0,0,0,0,0,0,4,Jim Joyce,"S.Elarton (99-47-L), E.Dessens (99), A.Sisco (99), A.Burgos (99)"
1,2,2,Apr 5,,DET,"L,3-14",9.0,19,14,14,0,1,8,5,1,8.5,47,167,111,1.0,0.0,0,0,44,6,0,0,0,1,1,2,6,Doug Eddings,"J.Mays (99-24-L), L.Hudson (99), S.Stemle (99), J.Gobble (99), M.Wood (99), A.Sisco (1)"
2,3,3,Apr 7,,CHW,"W,11-7",9.0,14,7,7,0,4,4,0,0,8.0,43,178,103,0.0,0.0,1,0,38,3,0,1,0,1,0,2,4,Paul Emmel,"J.Affeldt (99-24), M.Wood (1-W), E.Dessens (3-H), A.Burgos (3)"
3,4,4,Apr 8,,CHW,"W,4-3",9.0,6,3,3,0,6,7,0,0,6.75,36,147,88,3.0,0.0,0,1,29,2,0,1,0,1,0,2,5,Bruce Froemming,"D.Bautista (99-66), L.Hudson (2-H), A.Sisco (2-BSv), E.Dessens (0-W), A.Burgos (0-Sv)"
4,5,5,Apr 9,,CHW,"L,1-3",9.0,5,3,3,0,4,4,1,0,6.0,37,131,81,5.0,0.0,0,0,32,2,0,0,1,0,2,0,4,Mike Winters,"S.Elarton (5-62-L), J.Gobble (3), S.Stemle (3), A.Sisco (0)"
5,6,6,Apr 11,@,NYY,"L,7-9",8.0,8,9,9,0,9,4,2,0,6.62,39,146,80,5.0,2.0,0,0,29,1,0,0,1,0,0,1,5,Dan Iassogna,"J.Mays (5-31), M.Wood (3), E.Dessens (2-H), A.Sisco (1-L), A.Burgos (2-BSv)"
6,7,7,Apr 12,@,NYY,"L,5-12",8.0,15,12,10,2,8,3,1,0,7.23,45,193,106,6.0,5.0,2,0,37,2,0,1,0,0,1,2,4,Paul Emmel,"J.Affeldt (4-20-L), J.Gobble (2), L.Hudson (3), S.Stemle (2)"
7,8,8,Apr 13,@,NYY,"L,3-9",8.0,12,9,9,0,3,10,3,1,7.57,39,162,96,0.0,0.0,0,1,33,1,0,0,1,1,0,0,4,Dale Scott,"D.Bautista (4-45-L), A.Sisco (1), S.Stemle (0), J.Gobble (0)"
8,9,9,Apr 14,@,TBD,"L,2-7",8.0,6,7,4,3,7,5,0,1,7.25,38,152,85,3.0,3.0,0,0,29,2,0,0,1,0,1,1,2,Randy Marsh,"S.Elarton (4-51-L), E.Dessens (2-BSv)"
9,10,10,Apr 15,@,TBD,"L,3-6",8.0,8,6,6,0,8,10,0,0,7.2,38,151,78,4.0,3.0,1,0,29,4,0,0,0,1,0,1,4,Angel Hernandez,"M.Wood (3-47), L.Hudson (2-L), A.Sisco (1-BSv), A.Burgos (3)"
