,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 6,@,STL,"W,6-4",9.0,10,4,3,1,2,2,1,1,3.0,41,130,77,3.0,1.0,1,0,37,3,0,1,0,1,2,1,4,Joe West,"P.Maholm (99-54), T.Yates (99), J.Grabow (99-W), M.Capps (99-Sv)"
1,2,2,Apr 7,@,STL,"L,3-9",8.0,12,9,7,2,8,9,3,0,5.29,44,157,83,0.0,0.0,0,0,36,2,1,1,0,0,1,0,4,Ed Rapuano,"I.Snell (99-15-L), D.Veal (99), S.Burnett (99), C.Hansen (99)"
2,3,3,Apr 8,@,STL,"W,7-4",9.0,7,4,2,2,5,5,0,0,4.15,38,140,89,2.0,0.0,1,0,30,3,0,0,0,2,0,2,4,Paul Schrieber,"Z.Duke (99-57-W), J.Grabow (1), T.Yates (1), M.Capps (1-Sv)"
3,4,4,Apr 9,@,STL,"L,1-2",8.0,8,2,2,0,1,2,0,1,3.71,32,116,74,2.0,1.0,0,0,29,0,0,0,1,0,0,1,3,Marvin Hudson,"R.Ohlendorf (99-50-L), S.Burnett (1), T.Yates (0)"
4,5,5,Apr 11,@,CIN,"W,10-2",9.0,6,2,2,0,3,5,0,0,3.35,34,136,86,0.0,0.0,1,0,30,1,0,0,1,0,0,0,3,Ed Montague,"P.Maholm (4-68-W), J.Grabow (2), J.Chavez (99)"
5,6,6,Apr 12,@,CIN,"L,0-2",8.0,7,2,2,0,5,9,1,0,3.18,33,137,81,2.0,0.0,1,0,27,2,0,0,1,0,0,1,4,Jerry Layne,"I.Snell (4-58-L), C.Hansen (4), S.Burnett (2), J.Chavez (0)"
6,7,7,Apr 13,,HOU,"W,7-0",9.0,4,0,0,0,2,5,0,0,2.7,33,119,78,,,0,0,31,2,0,0,0,0,0,0,1,Mike Winters,Z.Duke (4-82-W)
7,8,8,Apr 15,,HOU,"L,1-4",9.0,8,4,4,0,2,5,0,0,2.87,36,136,89,0.0,0.0,0,0,32,4,0,0,0,2,0,1,4,James Hoye,"R.Ohlendorf (5-36-L), J.Chavez (2), C.Hansen (2), S.Burnett (2)"
8,9,9,Apr 16,,HOU,"L,3-6",9.0,10,6,6,0,7,6,2,0,3.23,43,175,96,0.0,0.0,2,0,36,2,1,0,0,0,0,1,6,Randy Marsh,"J.Karstens (99-38), C.Hansen (0), S.Burnett (0-L), T.Yates (6), J.Grabow (4), M.Capps (7)"
9,10,10,Apr 17,,ATL,"W,3-0",9.0,6,0,0,0,3,4,0,2,2.9,36,131,76,0.0,0.0,0,0,29,0,0,0,2,0,0,1,3,Bill Hohn,"P.Maholm (5-68-W), J.Grabow (0-H), M.Capps (0-Sv)"
10,11,11,Apr 18,,ATL,"W,10-0",9.0,4,0,0,0,3,4,0,0,2.62,31,113,66,1.0,0.0,0,1,28,1,0,0,0,0,0,1,3,Bruce Dreckman,"I.Snell (5-69-W), S.Burnett (1), J.Chavez (2)"
