,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 4,,PHI,"W,6-2",33,28,6,6,3,0,0,5,3,0,7,1,0,1,1,1,0,0,0.214,0.303,0.321,0.624,3,15,R,J.Hellickson(70)
1,2,2,Apr 6,,PHI,"W,3-2",33,33,3,8,1,0,1,3,0,0,9,0,0,0,0,0,0,0,0.23,0.273,0.344,0.617,5,13,R,A.Nola(73)
2,3,3,Apr 7,,PHI,"W,10-6",40,34,10,12,1,0,3,10,5,0,9,0,1,0,0,0,1,0,0.274,0.333,0.453,0.786,6,16,R,C.Morton(28)
3,4,4,Apr 8,,PIT,"L,5-6",39,30,5,6,0,0,1,4,6,0,5,1,1,1,2,2,3,0,0.256,0.336,0.416,0.752,7,17,L,F.Liriano(44)
4,5,5,Apr 9,,PIT,"W,5-1",34,30,5,8,1,0,1,5,4,0,6,0,0,0,1,1,0,1,0.258,0.339,0.413,0.752,5,13,R,G.Cole(43)
5,6,6,Apr 10,,PIT,"W,2-1",33,30,2,10,2,1,1,2,2,0,2,0,1,0,0,3,0,0,0.27,0.344,0.438,0.782,6,13,L,J.Locke(53)
6,7,7,Apr 11,@,CHC,"L,3-5",35,33,3,7,1,0,1,3,2,0,9,0,0,0,0,1,1,0,0.261,0.332,0.422,0.754,5,14,L,J.Lester(53)
7,8,8,Apr 13,@,CHC,"L,2-9",35,30,2,7,1,1,0,2,4,0,7,0,0,1,0,3,1,0,0.258,0.33,0.411,0.741,6,15,R,J.Lackey(58)
8,9,9,Apr 14,@,CHC,"L,1-8",36,32,1,6,3,0,0,1,4,0,6,0,0,0,0,0,0,0,0.25,0.324,0.396,0.72,8,15,R,J.Hammel(63)
9,10,10,Apr 15,@,STL,"L,3-14",35,34,3,7,1,0,1,3,1,0,7,0,0,0,0,0,0,0,0.245,0.314,0.389,0.703,5,16,R,C.Martinez(58)
10,11,11,Apr 16,@,STL,"W,9-8",44,40,9,15,9,0,1,9,3,1,4,0,0,1,0,0,0,1,0.26,0.325,0.421,0.746,8,16,R,A.Wainwright(21)
11,12,12,Apr 17,@,STL,"L,3-4",34,32,3,8,3,0,0,2,1,1,10,0,0,1,1,1,0,1,0.259,0.32,0.415,0.735,4,13,R,M.Wacha(54)
12,13,13,Apr 18,,COL,"L,1-5",32,31,1,4,2,0,0,0,1,1,7,0,0,0,0,0,0,0,0.249,0.309,0.398,0.707,4,16,R,J.Lyles(70)
13,14,14,Apr 19,,COL,"W,4-3",33,31,4,9,2,1,0,4,1,0,5,1,0,0,0,1,5,1,0.252,0.31,0.4,0.71,5,12,L,J.De La Rosa(32)
14,15,15,Apr 20,,COL,"W,6-5",34,34,6,9,3,0,2,6,0,0,8,0,0,0,0,0,0,0,0.253,0.307,0.409,0.716,3,14,R,C.Bettis(59)
15,16,16,Apr 21,,CHC,"L,0-16",29,25,0,0,0,0,0,0,4,0,6,0,0,0,0,1,0,0,0.241,0.299,0.389,0.687,2,16,R,J.Arrieta(89)
16,17,17,Apr 22,,CHC,"L,1-8",32,30,1,5,0,0,1,1,1,0,5,1,0,0,0,2,1,0,0.236,0.294,0.382,0.676,4,14,L,J.Lester(66)
17,18,18,Apr 23,,CHC,"W,13-5",40,36,13,15,3,0,4,11,4,1,9,0,0,0,0,0,0,0,0.248,0.306,0.41,0.716,3,14,R,J.Lackey(35)
18,19,19,Apr 24,,CHC,"L,0-9",32,29,0,3,0,0,0,0,2,0,12,0,1,0,0,0,0,0,0.241,0.299,0.395,0.694,5,15,R,J.Hammel(71)
19,20,20,Apr 25,@,NYM,"L,3-5",37,34,3,8,0,0,0,3,1,0,12,1,0,1,0,0,5,0,0.241,0.297,0.387,0.684,7,14,R,N.Syndergaard(57)
20,21,21,Apr 26,@,NYM,"L,3-4",38,33,3,10,3,0,1,3,3,1,8,0,1,1,1,1,0,2,0.244,0.3,0.392,0.692,8,12,R,B.Colon(42)
21,22,22,Apr 27,@,NYM,"L,2-5",35,33,2,7,0,0,1,2,1,0,12,0,1,0,1,1,0,1,0.242,0.297,0.387,0.685,6,14,R,M.Harvey(56)
22,23,23,Apr 29,@,PIT,"L,1-4",34,31,1,6,3,0,0,1,1,0,9,0,2,0,0,0,0,0,0.24,0.294,0.383,0.677,6,12,R,J.Nicasio(78)
23,24,24,Apr 30,@,PIT,"L,1-5",37,34,1,6,1,0,0,1,2,0,9,1,0,0,2,0,0,0,0.237,0.292,0.375,0.667,9,14,L,F.Liriano(66)
24,25,25,May 1,@,PIT,"W,6-5",46,40,6,8,5,1,0,5,5,2,7,0,1,0,3,1,2,1,0.235,0.292,0.375,0.667,7,17,L,J.Locke(61)
25,26,26,May 2,,SFG,"L,6-9",36,33,6,8,1,1,1,6,2,0,11,0,1,0,0,1,1,0,0.236,0.291,0.377,0.669,3,14,R,J.Cueto(35)
26,27,27,May 3,,SFG,"L,1-3",32,29,1,3,0,0,1,1,2,0,9,1,0,0,0,1,0,0,0.231,0.288,0.372,0.66,4,14,R,J.Samardzija(79)
27,28,28,May 4,,SFG,"W,7-4",35,34,7,10,2,0,4,7,1,0,8,0,0,0,1,0,0,1,0.234,0.289,0.384,0.673,4,12,R,J.Peavy(35)
28,29,29,May 5,,MIL,"W,9-5",37,33,9,9,4,0,3,9,3,0,10,0,0,1,1,0,0,0,0.235,0.29,0.394,0.684,4,12,R,C.Anderson(31)
29,30,30,May 6,,MIL,"W,5-1",32,29,5,6,2,0,2,5,3,0,8,0,0,0,0,0,0,0,0.234,0.29,0.397,0.687,3,13,R,T.Cravy(32)
30,31,31,May 7,,MIL,"L,7-13",42,40,7,11,1,0,2,5,1,0,10,1,0,0,0,1,3,0,0.236,0.291,0.399,0.69,5,16,R,J.Nelson(33)
31,32,32,May 8,,MIL,"L,4-5",35,31,4,6,1,1,1,4,3,0,8,0,1,0,0,0,0,1,0.235,0.29,0.399,0.689,4,15,R,J.Guerra(52)
32,33,33,May 9,,PIT,"W,3-2",32,29,3,9,0,0,3,3,2,0,4,1,0,0,0,2,0,1,0.237,0.292,0.405,0.697,5,13,L,J.Niese(51)
33,34,34,May 11,,PIT,"L,4-5",35,30,4,6,1,2,1,4,1,0,8,2,1,1,0,0,0,1,0.236,0.291,0.406,0.698,4,15,R,J.Nicasio(53)
34,35,35,May 13,@,PHI,"L,2-3",31,29,2,4,1,0,0,0,1,0,11,1,0,0,1,2,0,1,0.233,0.289,0.4,0.689,2,13,R,J.Hellickson(73)
35,36,36,May 14,@,PHI,"L,3-4",36,32,3,7,2,0,0,3,3,0,11,0,0,1,1,0,0,1,0.233,0.289,0.397,0.686,6,14,R,A.Nola(69)
36,37,37,May 15,@,PHI,"W,9-4",47,39,9,14,2,0,1,9,7,1,6,0,0,0,0,2,1,0,0.237,0.295,0.4,0.695,11,17,L,A.Morgan(15)
37,38,38,May 16,@,CLE,"L,6-15",38,36,6,12,2,0,2,6,2,1,5,0,0,0,1,2,0,1,0.24,0.297,0.405,0.701,5,12,R,C.Anderson(21)
38,39,39,May 17,@,CLE,"L,1-13",34,31,1,5,1,0,0,1,2,0,9,0,0,1,0,0,0,0,0.238,0.294,0.399,0.694,6,12,R,D.Salazar(71)
39,40,40,May 18,,CLE,"L,7-8",49,46,7,10,2,0,3,7,3,1,14,0,0,0,0,0,1,0,0.237,0.293,0.401,0.695,6,18,R,M.Clevinger(46)
40,41,41,May 19,,CLE,"L,2-7",33,32,2,5,2,0,1,2,1,0,8,0,0,0,0,0,0,0,0.235,0.291,0.399,0.69,4,14,R,J.Tomlin(67)
41,42,42,May 20,,SEA,"L,3-8",37,33,3,8,1,0,1,3,3,1,9,0,1,0,0,1,0,0,0.235,0.291,0.398,0.69,7,15,R,H.Iwakuma(51)
42,43,43,May 21,,SEA,"L,0-4",33,30,0,4,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0.233,0.29,0.393,0.682,6,13,R,F.Hernandez(66)
43,44,44,May 22,,SEA,"L,4-5",36,32,4,8,2,0,1,4,1,0,9,1,1,1,0,0,0,0,0.233,0.289,0.393,0.682,5,14,L,W.Miley(45)
44,45,45,May 23,@,LAD,"L,0-1",29,27,0,2,1,0,0,0,1,0,7,0,1,0,0,1,0,0,0.231,0.286,0.388,0.674,2,10,L,C.Kershaw(89)
45,46,46,May 24,@,LAD,"L,2-8",31,30,2,3,2,0,1,2,1,0,9,0,0,0,0,0,0,0,0.228,0.283,0.385,0.669,2,14,R,M.Bolsinger(60)
46,47,47,May 25,@,LAD,"L,1-3",32,30,1,4,0,1,0,1,2,0,14,0,0,0,0,0,0,0,0.226,0.281,0.382,0.663,4,11,L,S.Kazmir(70)
47,48,48,May 27,@,MIL,"L,5-9",33,32,5,6,0,0,2,5,0,0,8,0,0,1,1,0,0,1,0.225,0.279,0.382,0.661,1,16,R,Z.Davies(47)
48,49,49,May 28,@,MIL,"W,7-6",42,37,7,11,4,0,1,7,1,0,8,4,0,0,0,1,0,0,0.227,0.282,0.384,0.666,8,16,R,C.Anderson(56)
49,50,50,May 29,@,MIL,"L,4-5",36,32,4,9,1,0,1,3,2,0,6,2,0,0,0,2,1,2,0.228,0.284,0.384,0.668,5,13,R,J.Nelson(61)
50,51,51,May 30,@,COL,"W,11-8",46,42,11,17,3,0,5,11,3,1,7,0,1,0,0,0,1,1,0.232,0.288,0.396,0.683,8,16,R,C.Bettis(21)
51,52,52,May 31,@,COL,"L,4-17",36,31,4,7,1,1,2,4,4,0,5,1,0,0,1,4,0,0,0.232,0.288,0.398,0.686,5,14,R,J.Gray(55)
52,53,53,Jun 1,@,COL,"W,7-2",40,36,7,10,3,0,1,6,4,1,11,0,0,0,0,1,3,0,0.233,0.29,0.399,0.689,6,12,R,T.Chatwood(37)
