,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 5,,CHW,"W,9-7",38,35,9,13,2,0,3,9,3,0,4,0,0,0,0,3,0,0,0.371,0.421,0.686,1.107,4,12,L,M.Buehrle(48)
1,2,2,Apr 7,,CHW,"L,3-4",38,34,3,8,0,0,1,3,4,0,3,0,0,0,0,1,0,0,0.304,0.368,0.507,0.876,8,10,R,E.Loaiza(48)
2,3,3,Apr 8,,CLE,"L,1-6",34,31,1,5,2,1,0,1,1,0,5,1,0,1,0,0,0,0,0.26,0.318,0.44,0.758,6,9,R,J.D'Amico(70)
3,4,4,Apr 9,,CLE,"W,3-1",39,32,3,11,1,0,0,3,5,1,3,0,2,0,0,0,1,1,0.28,0.347,0.424,0.771,12,9,L,J.Stanford(51)
4,5,5,Apr 10,,CLE,"W,7-6",44,39,7,12,0,0,1,7,5,0,6,0,0,0,0,0,1,0,0.287,0.356,0.415,0.771,8,12,L,C.Sabathia(58)
5,6,6,Apr 11,,CLE,"W,5-3",36,30,5,8,2,0,0,4,4,1,8,1,0,1,0,1,0,0,0.284,0.357,0.403,0.76,7,10,R,J.Davis(49)
6,7,7,Apr 13,@,CHW,"L,5-12",39,37,5,8,2,0,4,5,2,0,4,0,0,0,1,1,0,0,0.273,0.342,0.433,0.775,7,9,R,E.Loaiza(37)
7,8,8,Apr 14,@,CHW,"L,9-10",43,38,9,12,3,0,4,9,4,0,6,0,0,1,0,0,1,0,0.279,0.346,0.471,0.817,7,11,R,J.Garland(41)
8,9,9,Apr 15,@,CHW,"L,5-6",40,36,5,9,1,0,2,5,4,0,9,0,0,0,0,3,0,0,0.276,0.344,0.468,0.812,5,11,L,M.Buehrle(43)
9,10,10,Apr 16,@,MIN,"L,7-9",39,37,7,9,1,0,4,7,2,0,9,0,0,0,1,0,0,0,0.272,0.338,0.481,0.819,5,10,L,J.Santana(42)
10,11,11,Apr 17,@,MIN,"L,4-8",41,37,4,11,1,0,2,4,4,1,6,0,0,0,0,1,0,0,0.275,0.34,0.482,0.822,10,12,R,K.Lohse(45)
11,12,12,Apr 18,@,MIN,"L,3-8",35,33,3,7,1,0,1,2,1,0,11,1,0,0,0,1,2,0,0.27,0.334,0.47,0.804,5,9,R,S.Greisinger(43)
12,13,13,Apr 20,@,CLE,"W,15-5",50,40,15,14,2,0,2,14,8,2,6,2,0,0,2,2,4,0,0.277,0.348,0.477,0.825,8,11,R,C.Durbin(18)
13,14,14,Apr 22,@,CLE,"L,4-5",41,38,4,11,2,1,1,4,3,1,10,0,0,0,0,0,2,0,0.278,0.348,0.477,0.825,10,10,R,J.D'Amico(52)
14,15,15,Apr 23,,MIN,"L,5-7",43,37,5,12,4,0,0,5,5,0,4,0,0,1,0,0,0,1,0.281,0.351,0.474,0.825,11,9,R,K.Lohse(30)
15,16,16,Apr 24,,MIN,"W,10-1",42,38,10,15,2,1,2,10,2,0,6,0,1,1,3,2,1,0,0.288,0.355,0.486,0.841,8,11,R,S.Greisinger(42)
