,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 1,@,WSN,"L,0-2",30,29,0,3,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0.103,0.133,0.138,0.271,3,12,R,S.Strasburg(74)
1,2,2,Apr 3,@,WSN,"L,0-3",32,28,0,4,1,0,0,0,3,0,8,0,1,0,1,2,0,1,0.123,0.18,0.158,0.338,5,13,L,G.Gonzalez(71)
2,3,3,Apr 4,@,WSN,"L,1-6",36,33,1,8,0,0,1,1,3,0,3,0,0,0,0,2,0,0,0.167,0.227,0.222,0.449,8,14,R,J.Zimmermann(51)
3,4,4,Apr 5,@,NYM,"W,7-5",42,37,7,11,4,0,1,7,3,1,5,0,1,1,1,0,2,0,0.205,0.261,0.299,0.56,8,15,R,J.Hefner(59)
4,5,5,Apr 6,@,NYM,"L,3-7",38,36,3,11,0,0,0,2,2,0,8,0,0,0,0,1,0,0,0.227,0.278,0.301,0.579,8,12,L,J.Niese(53)
5,6,6,Apr 7,@,NYM,"L,3-4",42,36,3,13,4,0,0,3,4,0,10,1,1,0,0,2,0,0,0.251,0.309,0.332,0.64,12,14,L,A.Laffey(35)
6,7,7,Apr 8,,ATL,"L,0-2",34,29,0,2,0,0,0,0,4,0,8,1,0,0,1,1,0,0,0.228,0.295,0.298,0.593,7,13,L,P.Maholm(79)
7,8,8,Apr 9,,ATL,"L,2-3",35,29,2,4,1,0,0,2,5,1,2,0,0,1,1,1,1,0,0.218,0.29,0.284,0.574,6,13,R,K.Medlen(68)
8,9,9,Apr 10,,ATL,"L,0-8",35,33,0,7,2,0,0,0,2,0,6,0,0,0,0,1,0,0,0.217,0.287,0.283,0.569,8,15,L,M.Minor(62)
9,10,10,Apr 12,,PHI,"L,1-3",35,31,1,4,0,0,0,1,3,0,5,1,0,0,0,2,1,0,0.209,0.281,0.268,0.549,4,15,L,J.Lannan(63)
10,11,11,Apr 13,,PHI,"W,2-1",33,28,2,4,0,1,0,1,4,0,9,0,1,0,1,1,1,0,0.203,0.278,0.264,0.542,6,14,L,C.Hamels(64)
11,12,12,Apr 14,,PHI,"L,1-2",33,29,1,5,1,0,0,1,2,0,2,0,2,0,0,0,0,0,0.201,0.274,0.259,0.534,5,13,R,R.Halladay(69)
12,13,13,Apr 15,,WSN,"L,3-10",34,31,3,6,2,0,0,3,1,0,6,1,1,0,0,1,0,0,0.2,0.272,0.259,0.531,4,14,R,J.Zimmermann(68)
13,14,14,Apr 16,,WSN,"W,8-2",36,35,8,11,1,0,1,8,1,0,3,0,0,0,1,1,2,0,0.209,0.277,0.273,0.549,4,13,R,D.Haren(30)
14,15,15,Apr 17,,WSN,"L,1-6",35,35,1,7,2,0,0,1,0,0,8,0,0,0,1,0,0,0,0.209,0.272,0.271,0.543,7,13,L,R.Detwiler(64)
15,16,16,Apr 18,@,CIN,"L,1-11",35,31,1,6,1,0,1,1,3,0,12,0,1,0,0,1,0,0,0.208,0.271,0.275,0.546,7,13,L,T.Cingrani(58)
16,17,17,Apr 19,@,CIN,"W,2-1",34,32,2,7,1,0,1,2,1,0,12,0,1,0,0,0,0,0,0.208,0.269,0.279,0.548,5,14,R,M.Latos(70)
17,18,18,Apr 20,@,CIN,"L,2-3",48,44,2,8,2,0,0,2,2,1,10,0,2,0,0,0,1,0,0.206,0.266,0.275,0.54,7,20,R,B.Arroyo(67)
18,19,19,Apr 21,@,CIN,"L,6-10",41,36,6,11,3,0,1,6,3,0,14,0,2,0,0,0,0,0,0.212,0.271,0.286,0.557,8,14,R,H.Bailey(55)
19,20,20,Apr 23 (1),@,MIN,"L,3-4",35,32,3,6,2,0,0,3,1,0,8,2,0,0,0,1,0,0,0.211,0.27,0.284,0.555,5,10,R,K.Correia(63)
20,21,21,Apr 23 (2),@,MIN,"W,8-5",44,42,8,16,4,0,0,8,2,0,2,0,0,0,0,0,0,0,0.221,0.279,0.296,0.574,9,9,R,M.Pelfrey(27)
21,22,22,Apr 25,,CHC,"L,3-4",39,31,3,6,0,0,0,3,5,1,5,1,2,0,0,0,2,0,0.22,0.281,0.292,0.572,9,14,R,E.Jackson(50)
22,23,23,Apr 26,,CHC,"L,2-4",36,33,2,9,2,0,1,2,2,0,4,0,0,1,0,2,0,0,0.222,0.282,0.297,0.579,7,13,R,S.Feldman(52)
23,24,24,Apr 27,,CHC,"L,2-3",34,31,2,5,0,0,2,2,3,0,6,0,0,0,0,1,0,0,0.22,0.28,0.3,0.58,5,13,L,T.Wood(62)
24,25,25,Apr 28,,CHC,"W,6-4",33,30,6,7,1,0,3,6,3,1,8,0,0,0,0,0,1,1,0.22,0.281,0.309,0.59,3,12,R,C.Villanueva(53)
25,26,26,Apr 29,,NYM,"W,4-3",62,52,4,16,2,0,0,3,6,1,9,1,1,2,0,5,2,0,0.226,0.287,0.312,0.598,14,19,R,M.Harvey(55)
26,27,27,Apr 30,,NYM,"W,2-1",30,27,2,5,0,0,0,1,1,1,8,1,1,0,0,2,0,0,0.224,0.286,0.308,0.593,4,11,R,J.Hefner(74)
27,28,28,May 1,,NYM,"L,6-7",40,38,6,13,3,0,0,4,2,0,2,0,0,0,0,1,0,0,0.229,0.289,0.312,0.601,7,15,R,D.Gee(32)
28,29,29,May 2,@,PHI,"L,2-7",35,33,2,7,1,1,1,1,2,0,7,0,0,0,0,1,1,0,0.229,0.288,0.315,0.603,6,12,R,K.Kendrick(58)
29,30,30,May 3,@,PHI,"L,1-4",36,33,1,6,1,0,1,1,3,0,7,0,0,0,0,0,1,0,0.227,0.287,0.315,0.601,8,13,R,J.Pettibone(62)
30,31,31,May 4,@,PHI,"W,2-0",33,31,2,4,0,0,2,2,1,0,7,1,0,0,0,0,1,0,0.224,0.284,0.315,0.599,4,12,L,C.Hamels(72)
31,32,32,May 5,@,PHI,"W,14-2",50,40,14,13,2,1,3,13,6,0,10,4,0,0,0,0,2,0,0.228,0.291,0.327,0.619,9,12,R,R.Halladay(13)
32,33,33,May 6,@,SDP,"L,0-5",33,29,0,5,2,0,0,0,3,0,5,0,1,0,0,2,2,0,0.226,0.29,0.325,0.615,6,12,R,A.Cashner(71)
33,34,34,May 7,@,SDP,"L,1-5",34,32,1,7,2,0,0,1,2,0,6,0,0,0,0,1,0,0,0.226,0.289,0.324,0.613,6,13,L,E.Stults(57)
34,35,35,May 8,@,SDP,"L,0-1",31,30,0,5,1,0,0,0,1,0,5,0,0,0,0,1,0,1,0.225,0.287,0.321,0.608,4,11,R,J.Marquis(74)
35,36,36,May 10,@,LAD,"W,5-4",36,30,5,6,1,0,1,4,5,0,3,1,0,0,0,2,0,1,0.224,0.288,0.321,0.609,4,14,R,M.Magill(47)
36,37,37,May 11,@,LAD,"L,1-7",34,30,1,5,1,0,1,1,3,0,5,0,1,0,0,1,0,0,0.223,0.287,0.321,0.608,6,14,L,H.Ryu(60)
37,38,38,May 12,@,LAD,"L,3-5",36,35,3,8,2,0,1,3,1,0,11,0,0,0,0,0,0,0,0.223,0.286,0.322,0.608,6,15,L,C.Capuano(65)
38,39,39,May 14,,CIN,"L,2-6",33,31,2,6,1,1,0,2,0,0,10,1,0,1,0,1,1,0,0.222,0.285,0.321,0.606,4,14,R,H.Bailey(77)
39,40,40,May 15,,CIN,"L,0-4",39,36,0,11,1,0,0,0,2,0,11,1,0,0,0,2,0,0,0.224,0.287,0.322,0.608,12,16,R,M.Leake(61)
40,41,41,May 16,,CIN,"L,3-5",37,33,3,6,0,2,1,3,2,1,7,1,1,0,0,1,0,1,0.223,0.286,0.323,0.609,4,16,R,M.Latos(70)
41,42,42,May 17,,ARI,"L,2-9",35,31,2,7,1,0,0,2,4,0,5,0,0,0,0,3,1,0,0.223,0.286,0.322,0.608,6,13,R,T.Cahill(68)
42,43,43,May 18,,ARI,"L,0-1",31,29,0,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0.221,0.284,0.317,0.601,4,14,R,B.McCarthy(84)
