,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,@,CIN,"L,2-3",40,36,2,7,3,0,0,1,3,0,6,1,0,0,2,0,0,0,0.194,0.275,0.278,0.553,11,14,R,O.Fernandez(56)
1,2,2,Apr 4,@,CIN,"W,6-5",38,36,6,7,2,0,2,6,1,0,6,1,0,0,1,0,0,1,0.194,0.256,0.347,0.604,2,18,R,C.Reitsma(61)
2,3,3,Apr 5,@,CIN,"L,1-4",31,31,1,7,0,0,1,1,0,0,3,0,0,0,0,2,0,1,0.204,0.248,0.34,0.588,3,11,R,E.Dessens(60)
3,4,4,Apr 6,@,HOU,"L,1-4",37,32,1,5,1,0,0,1,2,0,4,2,0,1,1,0,0,0,0.193,0.247,0.304,0.55,9,12,R,O.Dotel(65)
4,5,5,Apr 7,@,HOU,"W,5-3",43,38,5,13,1,0,2,5,5,0,5,0,0,0,0,1,1,1,0.225,0.286,0.353,0.638,11,15,R,K.Bottenfield(33)
5,6,6,Apr 8,@,HOU,"W,9-3",40,37,9,12,1,0,3,9,3,0,5,0,0,0,1,1,1,1,0.243,0.301,0.395,0.697,4,14,R,S.Elarton(19)
6,7,7,Apr 9,,CIN,"L,2-8",34,32,2,6,0,0,0,1,1,0,6,1,0,0,1,1,1,0,0.236,0.293,0.368,0.661,5,14,R,C.Reitsma(58)
7,8,8,Apr 11,,CIN,"W,6-5",38,31,6,10,2,0,1,5,5,0,8,0,1,1,1,1,1,1,0.245,0.307,0.381,0.688,8,16,R,E.Dessens(40)
8,9,9,Apr 12,,CIN,"L,6-11",35,34,6,7,1,0,2,6,1,0,7,0,0,0,1,0,0,0,0.241,0.299,0.384,0.683,2,16,R,P.Harnisch(49)
9,10,10,Apr 13,@,CHC,"L,2-4",33,32,2,6,1,0,0,2,1,0,14,0,0,0,0,1,1,0,0.236,0.291,0.369,0.659,4,13,R,J.Bere(67)
10,11,11,Apr 14,@,CHC,"L,6-7",39,37,6,11,4,0,2,5,2,0,7,0,0,0,1,1,2,1,0.242,0.295,0.388,0.683,6,15,R,J.Lieber(57)
