,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 7,,NYM,"L,1-5",35,32,1,6,1,0,1,1,2,0,10,0,1,0,1,1,0,0,0.188,0.235,0.313,0.548,7,9,R,T.Megill(67)
1,2,2,Apr 8,,NYM,"L,3-7",33,30,3,5,0,0,1,3,1,0,9,1,0,1,0,1,0,0,0.177,0.224,0.29,0.514,3,9,R,M.Scherzer(59)
2,3,3,Apr 9,,NYM,"L,0-5",32,31,0,4,0,0,0,0,1,0,12,0,0,0,0,1,0,0,0.161,0.202,0.237,0.439,5,9,R,C.Bassitt(73)
3,4,4,Apr 10,,NYM,"W,4-2",31,29,4,5,0,0,1,4,1,0,6,0,1,0,0,0,0,1,0.164,0.202,0.246,0.447,3,11,R,C.Carrasco(66)
4,5,5,Apr 11,@,ATL,"W,11-2",49,41,11,15,2,0,1,11,7,0,9,1,0,0,0,0,0,1,0.215,0.275,0.307,0.582,11,11,R,H.Ynoa(27)
5,6,6,Apr 12,@,ATL,"L,4-16",36,35,4,9,3,0,2,3,1,0,8,0,0,0,0,1,0,0,0.222,0.276,0.343,0.619,5,9,R,B.Elder(49)
6,7,7,Apr 13,@,ATL,"W,3-1",34,33,3,7,1,0,0,3,0,0,9,0,0,1,0,0,0,0,0.221,0.266,0.329,0.595,4,9,L,M.Fried(48)
7,8,8,Apr 14,@,PIT,"L,4-9",41,34,4,8,0,0,0,4,6,0,11,0,0,1,0,0,0,0,0.223,0.277,0.317,0.594,10,9,R,J.Brubaker(38)
8,9,9,Apr 15,@,PIT,"W,7-2",42,35,7,10,2,0,0,7,6,0,5,1,0,0,0,1,1,0,0.23,0.293,0.32,0.613,8,10,R,M.Keller(32)
9,10,10,Apr 16,@,PIT,"L,4-6",42,35,4,8,3,0,1,4,6,0,4,0,0,0,0,0,0,0,0.23,0.298,0.328,0.627,11,10,R,B.Wilson(46)
10,11,11,Apr 17,@,PIT,"L,3-5",40,33,3,8,1,0,0,3,6,0,5,1,0,0,0,1,0,0,0.231,0.306,0.323,0.629,10,9,L,J.Quintana(39)
11,12,12,Apr 19 (1),,ARI,"W,6-1",36,27,6,7,2,0,0,6,5,0,7,1,1,1,1,1,0,1,0.233,0.312,0.324,0.636,6,9,L,M.Bumgarner(60)
12,13,13,Apr 19 (2),,ARI,"W,1-0",30,28,1,4,1,0,0,1,1,1,5,0,1,0,1,0,0,0,0.227,0.303,0.314,0.618,5,9,L,T.Gilbert(61)
13,14,14,Apr 20,,ARI,"L,2-11",37,36,2,9,4,0,0,2,1,0,11,0,0,0,0,0,0,0,0.229,0.301,0.318,0.619,8,11,R,M.Kelly(60)
14,15,15,Apr 21,,ARI,"L,3-4",38,32,3,6,1,0,1,3,4,1,8,1,0,0,0,1,0,0,0.226,0.301,0.318,0.618,8,10,R,Z.Davies(60)
15,16,16,Apr 22,,SFG,"L,1-7",31,30,1,6,2,0,1,1,1,0,6,0,0,0,0,2,0,0,0.225,0.297,0.321,0.617,3,9,L,S.Long(53)
16,17,17,Apr 23,,SFG,"L,2-5",35,33,2,7,1,0,1,2,1,0,9,0,1,0,1,1,0,0,0.224,0.293,0.321,0.614,6,11,L,A.Wood(55)
17,18,18,Apr 24,,SFG,"L,3-12",35,33,3,7,2,0,1,3,1,0,7,1,0,0,0,1,1,0,0.223,0.291,0.324,0.615,5,10,R,L.Webb(53)
18,19,19,Apr 26,,MIA,"L,2-5",35,31,2,8,1,0,0,2,4,0,5,0,0,0,0,2,2,0,0.225,0.294,0.322,0.616,6,9,R,S.Alcantara(58)
19,20,20,Apr 27,,MIA,"L,1-2",36,32,1,5,1,0,0,1,4,0,9,0,0,0,1,1,0,0,0.222,0.292,0.315,0.607,8,11,R,P.López(71)
20,21,21,Apr 28,,MIA,"L,2-3",34,30,2,4,3,0,0,2,4,0,6,0,0,0,1,1,0,0,0.218,0.289,0.312,0.601,5,11,L,T.Rogers(66)
21,22,22,Apr 29,@,SFG,"W,14-4",52,49,14,22,4,0,1,14,2,0,7,1,0,0,0,0,0,0,0.233,0.301,0.331,0.632,11,9,L,A.Wood(33)
22,23,23,Apr 30,@,SFG,"L,3-9",36,35,3,11,4,0,0,2,1,0,8,0,0,0,0,2,0,0,0.237,0.303,0.335,0.638,6,9,R,L.Webb(40)
23,24,24,May 1,@,SFG,"W,11-5",46,38,11,12,2,0,0,8,7,1,6,0,0,1,0,1,2,0,0.241,0.309,0.337,0.645,8,10,R,A.Cobb(29)
