,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 5,@,OAK,"W,5-3",9.0,5,3,3,0,7,6,0,0,3.0,35,138,79,2.0,2.0,1,0,28,0,0,0,0,0,1,4,4,Tim Tschida,"F.Hernandez (99-54), S.White (99-BSv), B.League (99-W), D.Aardsma (99-Sv)"
1,2,2,Apr 6,@,OAK,"L,1-2",9.2,10,2,2,0,4,7,1,1,2.41,43,170,104,0.0,0.0,0,0,38,1,0,0,0,0,0,1,4,Bob Davidson,"I.Snell (99-62), S.Kelley (99), M.Lowe (99), K.Texeira (99-L)"
2,3,3,Apr 7,@,OAK,"L,5-6",8.1,14,6,5,1,1,2,1,1,3.33,41,169,104,2.0,0.0,1,0,37,4,0,0,0,2,0,0,4,Alfonso Marquez,"R.Rowland-Smith (99-37), S.White (1-H), B.League (1-BSv), M.Lowe (0-L)"
3,4,4,Apr 8,@,OAK,"L,2-6",8.0,11,6,6,0,5,6,0,0,4.11,40,152,93,0.0,0.0,2,0,35,4,0,1,0,0,0,0,3,Mike Muchlinski,"D.Fister (99-41-L), J.Colome (99), K.Texeira (1)"
4,5,5,Apr 9,@,TEX,"L,2-6",8.0,12,6,6,0,1,8,1,0,4.6,36,131,89,3.0,2.0,0,0,35,2,0,0,0,0,0,0,3,Lance Barksdale,"J.Vargas (99-36-L), S.Kelley (2), S.White (1)"
5,6,6,Apr 10,@,TEX,"W,4-3",9.0,7,3,2,1,3,7,1,1,4.15,37,150,98,0.0,0.0,0,0,32,0,1,0,1,0,0,1,3,Ed Rapuano,"F.Hernandez (4-57), M.Lowe (2-W), D.Aardsma (4-Sv)"
6,7,7,Apr 11,@,TEX,"L,2-9",8.0,16,9,8,1,4,2,1,1,4.8,45,169,103,0.0,0.0,0,0,35,2,1,0,0,3,0,1,4,Todd Tichenor,"I.Snell (4-23-L), J.Colome (2), K.Texeira (2), B.League (3)"
7,8,8,Apr 12,,OAK,"L,0-4",9.0,5,4,4,0,7,3,1,0,4.7,37,135,78,0.0,0.0,1,0,28,1,0,0,1,1,0,2,3,Dale Scott,"R.Rowland-Smith (4-51-L), S.Kelley (2), S.White (2)"
8,9,9,Apr 13,,OAK,"W,3-0",9.0,3,0,0,0,2,4,0,0,4.15,32,115,78,0.0,0.0,0,0,29,0,0,0,1,0,1,2,2,Jerry Meals,"D.Fister (4-80-W), D.Aardsma (2-Sv)"
9,10,10,Apr 14,,OAK,"W,4-2",9.0,5,2,2,0,1,9,1,0,3.93,32,132,82,0.0,0.0,0,1,31,0,0,0,0,0,0,0,3,Doug Eddings,"J.Vargas (4-60-W), B.League (2-H), D.Aardsma (0-Sv)"
10,11,11,Apr 16,,DET,"W,11-3",9.0,8,3,3,0,2,10,0,0,3.84,36,139,89,2.0,0.0,0,0,34,3,0,0,0,0,0,1,3,Brian Knight,"F.Hernandez (5-65-W), S.White (3), M.Lowe (5)"
11,12,12,Apr 17,,DET,"W,4-2",9.0,7,2,2,0,4,5,1,0,3.69,37,139,89,1.0,1.0,0,0,32,1,0,0,1,0,0,1,4,Greg Gibson,"R.Rowland-Smith (4-56), B.League (2-BW), M.Lowe (0-H), D.Aardsma (2-Sv)"
12,13,13,Apr 18,,DET,"L,2-4",9.0,9,4,4,0,9,6,1,0,3.71,43,168,93,0.0,0.0,0,0,34,3,1,1,0,0,0,2,5,Scott Barry,"I.Snell (6-45-L), K.Texeira (6), S.White (1), J.Colome (6), S.Kelley (5)"
13,14,14,Apr 19,,BAL,"W,8-2",9.0,5,2,2,0,1,5,1,1,3.59,33,119,79,0.0,0.0,0,0,31,1,0,0,0,0,0,1,3,Mike Reilly,"D.Fister (5-69-W), B.League (1), S.Kelley (0)"
14,15,15,Apr 20,,BAL,"W,3-1",9.0,4,1,1,0,2,7,0,0,3.41,34,126,81,0.0,0.0,0,0,32,3,0,0,0,0,1,0,3,Eric Cooper,"J.Vargas (5-70-W), M.Lowe (2-H), D.Aardsma (2-Sv)"
15,16,16,Apr 21,,BAL,"W,4-1",9.0,9,1,0,1,0,6,0,0,3.19,35,113,82,,,0,0,35,0,0,0,0,0,1,2,1,Bill Miller,F.Hernandez (4-73-W)
16,17,17,Apr 23,@,CHW,"L,6-7",8.2,10,7,5,2,2,2,4,1,3.31,39,152,97,4.0,2.0,3,0,36,2,0,1,0,0,2,2,5,Fieldin Culbreth,"R.Rowland-Smith (5-39), K.Texeira (4), S.White (4-H), B.League (3-BSv), M.Lowe (2-L)"
