,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 7,,NYM,"L,1-5",9.0,12,5,5,0,4,9,0,3,5.0,42,169,105,5.0,1.0,0,1,35,2,0,0,0,0,0,2,6,Mark Carlson,"P.Corbin (99-46-L), V.Arano (99), A.Voth (99), A.Machado (99), P.Murphy (99), M.Thompson (99)"
1,1,2,2,Apr 8,,NYM,"L,3-7",9.0,13,7,7,0,6,10,1,1,6.0,45,181,106,6.0,0.0,0,0,37,3,1,0,1,0,0,0,6,Chris Guccione,"J.Gray (99-33-L), S.Cishek (99), S.Doolittle (99), V.Arano (0), P.Murphy (0), P.Espino (99)"
2,2,3,3,Apr 9,,NYM,"L,0-5",9.0,9,5,5,0,5,8,1,1,5.67,41,153,90,1.0,0.0,2,0,35,2,0,0,0,0,0,0,6,Jordan Baker,"J.Adon (99-38-L), A.Voth (1), K.Finnegan (99), T.Rainey (99), M.Thompson (1), A.Machado (1)"
3,3,4,4,Apr 10,,NYM,"W,4-2",9.0,7,2,2,0,4,9,1,0,4.75,37,141,89,2.0,0.0,1,0,33,1,0,0,0,0,0,0,5,Ryan Additon,"E.Fedde (99-52), S.Cishek (1), S.Doolittle (1), K.Finnegan (0-W), T.Rainey (0-Sv)"
4,4,5,5,Apr 11,@,ATL,"W,11-2",9.0,4,2,2,0,3,8,0,0,4.2,34,146,89,1.0,0.0,0,0,31,1,0,0,0,0,0,0,4,Angel Hernandez,"J.Rogers (99-61-W), V.Arano (2), H.Harvey (99), P.Murphy (2)"
5,5,6,6,Apr 12,@,ATL,"L,4-16",8.0,19,16,15,1,9,8,3,1,6.11,52,204,119,3.0,0.0,0,0,42,5,0,0,0,0,0,0,4,Jim Wolf,"P.Corbin (4-16-L), A.Voth (2), P.Espino (3), D.Strange-Gordon (99)"
6,6,7,7,Apr 13,@,ATL,"W,3-1",9.0,3,1,1,0,3,8,1,1,5.37,31,128,85,0.0,0.0,0,1,27,0,0,0,0,0,0,2,5,D.J. Reyburn,"J.Gray (4-67-W), K.Finnegan (2-H), S.Doolittle (2-H), S.Cishek (2-H), T.Rainey (2-Sv)"
7,7,8,8,Apr 14,@,PIT,"L,4-9",8.0,14,9,9,0,8,12,2,0,5.91,46,197,111,2.0,1.0,2,0,37,2,1,0,0,1,0,0,5,Jansen Visconti,"J.Adon (4-24-L), H.Harvey (2), A.Machado (4), P.Murphy (2), V.Arano (2)"
8,8,9,9,Apr 15,@,PIT,"W,7-2",9.0,5,2,2,0,2,10,0,0,5.47,34,148,94,0.0,0.0,0,0,32,1,0,0,0,0,0,0,4,Ryan Wills,"E.Fedde (4-55-W), S.Doolittle (1), A.Voth (2), P.Espino (2)"
9,9,10,10,Apr 16,@,PIT,"L,4-6",8.0,10,6,5,1,3,7,0,0,5.48,36,141,94,3.0,1.0,0,1,33,1,1,0,0,0,0,0,5,Jerry Meals,"J.Rogers (4-39-L), S.Cishek (2), V.Arano (1), K.Finnegan (2), H.Harvey (1)"
10,10,11,11,Apr 17,@,PIT,"L,3-5",8.0,7,5,5,0,4,7,0,0,5.49,35,132,79,5.0,3.0,1,1,30,0,0,1,1,0,2,1,5,Ed Hickox,"P.Corbin (4-55), V.Arano (0-H), S.Cishek (0-BL), S.Doolittle (1), A.Machado (2)"
11,11,12,12,Apr 19(1),,ARI,"W,6-1",9.0,6,1,1,0,3,12,1,0,5.11,34,150,91,0.0,0.0,0,1,31,2,0,0,0,0,0,1,5,Nestor Ceja,"J.Gray (5-64-W), S.Doolittle (1-H), S.Cishek (1-H), K.Finnegan (2-H), A.Voth (3)"
12,12,13,13,Apr 19(2),,ARI,"W,1-0",9.0,5,0,0,0,3,9,0,0,4.7,35,136,85,1.0,0.0,0,0,32,1,0,0,0,0,0,0,4,Ted Barrett,"J.Adon (4-70-W), V.Arano (1-H), K.Finnegan (-1-H), T.Rainey (5-Sv)"
13,13,14,14,Apr 20,,ARI,"L,2-11",9.0,10,11,8,3,4,4,1,0,4.94,42,162,106,1.0,1.0,1,0,35,2,0,0,0,3,2,1,7,,"E.Fedde (4-20-L), F.Perez (99), P.Murphy (5), S.Clay (99), A.Machado (2), H.Harvey (3), P.Espino (4)"
14,14,15,15,Apr 21,,ARI,"L,3-4",9.0,9,4,4,0,2,8,3,2,4.88,39,153,98,0.0,0.0,0,1,35,1,0,0,0,0,0,0,6,Nic Lentz,"J.Rogers (4-36-L), V.Arano (1), S.Clay (0), A.Voth (1), E.Ramírez (99), A.Machado (0)"
15,15,16,16,Apr 22,,SFG,"L,1-7",9.0,12,7,7,0,5,9,1,0,5.01,42,161,99,1.0,0.0,0,0,37,2,0,0,0,0,0,0,5,Cory Blaser,"P.Corbin (4-14-L), E.Ramírez (0), F.Perez (1), P.Murphy (1), P.Espino (1)"
16,16,17,17,Apr 23,,SFG,"L,2-5",9.0,10,5,5,0,2,5,0,1,5.01,38,140,95,1.0,1.0,1,1,34,1,0,0,0,1,0,1,6,Mark Ripperger,"A.Sanchez (99-35-L), S.Clay (1), S.Cishek (3), F.Perez (0), T.Rainey (3), K.Finnegan (3)"
17,17,18,18,Apr 24,,SFG,"L,3-12",9.0,15,12,12,0,4,7,2,2,5.41,48,181,118,9.0,6.0,0,0,40,2,1,0,0,2,0,0,8,Tom Hallion,"J.Adon (4-32-L), J.Rogers (2), V.Arano (2), A.Voth (2), A.Machado (2), S.Clay (0), S.Cishek (0), P.Espino (1)"
18,18,19,19,Apr 26,,MIA,"L,2-5",9.0,9,5,4,1,4,11,1,0,5.34,40,145,95,2.0,0.0,2,0,36,3,0,0,0,0,0,0,5,Bill Welke,"J.Gray (6-46-L), A.Voth (1), V.Arano (1), A.Machado (1), E.Ramírez (3)"
19,19,20,20,Apr 27,,MIA,"L,1-2",9.0,4,2,2,0,5,8,1,1,5.16,35,164,102,2.0,1.0,0,1,29,0,0,0,0,0,0,1,6,Gabe Morales,"E.Fedde (6-52-L), A.Machado (0), S.Cishek (2), E.Ramírez (0), T.Rainey (3), K.Finnegan (3)"
20,20,21,21,Apr 28,,MIA,"L,2-3",9.0,5,3,2,1,2,9,0,2,5.01,36,121,84,2.0,2.0,2,1,32,3,0,0,0,0,1,0,4,Chris Segal,"P.Corbin (5-60-L), V.Arano (1), A.Voth (1), J.Rogers (3)"
21,21,22,22,Apr 29,@,SFG,"W,14-4",9.0,11,4,4,0,2,10,2,0,4.96,39,162,106,5.0,0.0,0,0,36,0,0,0,0,1,0,1,6,Scott Barry,"A.Sanchez (5-47-W), A.Voth (0), S.Cishek (1), S.Clay (4), F.Perez (5), P.Espino (4)"
22,22,23,23,Apr 30,@,SFG,"L,3-9",8.0,11,9,7,2,5,7,1,2,5.08,42,173,105,7.0,3.0,2,0,34,1,0,0,0,1,2,1,6,Adam Beck,"J.Adon (5-40-L), J.Rogers (1), E.Ramírez (2), K.Finnegan (2), A.Machado (2), F.Perez (0)"
23,24,24,24,May 1,@,SFG,"W,11-5",9.0,6,5,5,0,7,8,0,0,5.08,40,157,91,6.0,4.0,1,0,33,0,0,0,0,0,0,0,5,Ben May,"J.Gray (4-69-W), V.Arano (2), K.Finnegan (0), S.Cishek (1-H), T.Rainey (3)"
24,25,25,25,May 3,@,COL,"W,10-2",9.0,7,2,2,0,2,3,1,0,4.95,35,123,80,0.0,0.0,0,0,33,1,0,0,0,0,0,1,3,Will Little,"E.Fedde (5-62-W), E.Ramírez (2), P.Espino (3)"
25,26,26,26,May 4,@,COL,"L,2-5",8.0,9,5,3,2,0,3,0,0,4.89,35,94,70,,,0,0,35,2,1,0,0,0,2,1,1,Greg Gibson,P.Corbin (5-51-L)
26,27,27,27,May 5,@,COL,"L,7-9",8.0,10,9,8,1,3,11,3,1,5.03,38,153,103,4.0,2.0,0,1,34,2,0,0,0,0,1,0,5,Nick Mahrley,"A.Sanchez (5-27-L), J.Rogers (4), K.Finnegan (3), A.Voth (5), S.Cishek (3)"
27,28,28,28,May 6,@,LAA,"L,0-3",8.0,5,3,3,0,6,10,0,0,4.98,33,131,78,0.0,0.0,0,1,27,1,0,1,0,0,0,1,4,Chad Whitson,"J.Adon (5-50-L), A.Voth (0), V.Arano (4), P.Espino (2)"
28,29,29,29,May 7,@,LAA,"W,7-3",9.0,7,3,3,0,3,7,2,0,4.91,37,137,85,1.0,0.0,1,0,34,0,0,0,0,0,0,0,4,Edwin Moscoso,"J.Gray (5-47-W), S.Cishek (1), E.Ramírez (3), T.Rainey (5)"
29,30,30,30,May 8,@,LAA,"L,4-5",8.2,8,5,5,0,7,11,0,0,4.92,40,165,94,2.0,2.0,0,0,32,1,0,0,1,0,0,1,5,Adam Hamari,"E.Fedde (4-62), J.Rogers (2-H), K.Finnegan (2-H), A.Voth (1-H), T.Rainey (0-BL)"
30,31,31,31,May 10,,NYM,"L,2-4",9.0,8,4,3,1,7,10,0,0,4.85,43,170,106,0.0,0.0,1,0,34,1,0,1,0,2,2,1,4,Ryan Wills,"P.Corbin (5-62), C.Edwards (99-BL), S.Cishek (2), E.Ramírez (2)"
31,32,32,32,May 11,,NYM,"W,8-3",9.0,10,3,3,0,0,4,1,0,4.79,37,134,91,3.0,0.0,0,0,37,1,0,0,0,0,0,0,4,Tripp Gibson,"A.Sanchez (5-45-W), A.Voth (2), V.Arano (4), P.Espino (4)"
32,33,33,33,May 12,,NYM,"L,1-4",9.0,5,4,4,0,5,6,1,1,4.77,36,158,97,1.0,0.0,0,0,30,0,0,0,0,0,0,2,5,Chad Fairchild,"J.Adon (5-40-L), E.Ramírez (1), C.Edwards (1), K.Finnegan (3), S.Cishek (1)"
